"","Raceway_ID","tissue","microsite","Depth","day_collected_est","Distance_from_application","date_coll_flat","Year_collected","Month_collected","Day_collected","d15N","d13C","pN","pC","Site","habitat","Plant_species","Date_installed","Date_mesh_added","Season","mesh_type","Date_15N_added_flat","N15_mg_added","total_N_mg_added","Type_of_label","Year_15N_added","Month_15N_added","Day_15N_added","Experiment","Distance_from_tracer_to_mesh","mass_g","avg_N","Total_N","Day","Nat_ab_15N","R","R0","F","F0","total15N","total15N0","excess","stomped","gwc_depth","VWC","GWC","Day_2","CN","excess_percm","excess_percmday"
"23","15","leaf","plant","plant",3,35,170604,2017,6,4,0,-16.4,1.7,43,"SEV","BBG","BOER","12/13/16","3/25/17","Spring","fine","170601",0.86,0.86,"nitrate",2017,6,1,"mesh",NA,9.77,1.75,170.975,3,-0.9,0.00367,0.003666697,0.00365658035011508,0.00365330145053124,0.625183825360925,0.624623215504579,0.000560609856346428,"No",NA,NA,NA,3,29.5098039215686,0.0160174244670408,0.0053391414890136
"24","21","root","plant","plant",10,29,170602,2017,6,4,-1.8,-14.4,0.4,35.3,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170601",0.86,0.86,"nitrate",2017,6,1,"Nform_Plant_species",NA,5.9,0.4,23.6,3,-1.9,0.003663394,0.003663027,0.00365002252936606,0.00364965820345995,0.0861405316930389,0.0861319336016549,8.59809138398226e-06,"No",NA,NA,NA,3,102.958333333333,0.000296485909792492,9.88286365974973e-05
"25","21","leaf","plant","plant",0,29,170528,2017,5,28,-1.9,-16.2,1.9,42.6,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170601",0.86,0.86,"nitrate",2017,6,1,"Nform_Plant_species",NA,9.64,1.9,183.16,-4,-1.9,0.003663027,0.003663027,0.00364965820345995,0.00364965820345995,0.668471396545725,0.668471396545725,0,"No","0_10",NA,0.016421052631579,0,26.1578947368421,0,NA
"26","21","leaf","plant","plant",3,29,170604,2017,6,4,-1.1,-15.8,1.9,43.8,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170601",0.86,0.86,"nitrate",2017,6,1,"Nform_Plant_species",NA,9.64,1.9,183.16,3,-1.9,0.003665963,0.003663027,0.00365257280324848,0.00364965820345995,0.669005234642992,0.668471396545725,0.000533838097267147,"No","0_10",NA,0.0152243589743589,3,26.8947368421053,0.0184082102505913,0.00613607008353043
"27","28","root","plant","plant",10,38,170602,2017,6,2,-1.5,-14.4,0.5,42.2,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170525",0.86,0.86,"glutamate",2017,5,25,"Nform",NA,1.6,0.5,8,8,-0.8,0.003664495,0.003667064,0.00365111550548573,0.00365366577377296,0.0292089240438858,0.0292293261901837,-2.0402146297914e-05,"No",NA,NA,NA,8,98.4666666666667,-0.00053689858678721,-6.71123233484013e-05
"28","28","leaf","plant","plant",0,38,170525,2017,5,25,-0.8,-15.9,1.5,42.2,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170525",0.86,0.86,"glutamate",2017,5,25,"Nform",NA,4.14,1.5,62.1,0,-0.8,0.003667064,0.003667064,0.00365366577377296,0.00365366577377296,0.226892644551301,0.226892644551301,0,"No","0_10",NA,0.0128402670775552,0,32.8222222222222,0,NA
"29","28","leaf","plant","plant",3,38,170528,2017,5,28,-0.5,-15.6,1.5,41,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170525",0.86,0.86,"glutamate",2017,5,25,"Nform",NA,4.14,1.5,62.1,3,-0.8,0.003668165,0.003667064,0.00365475874189952,0.00365366577377296,0.22696051787196,0.226892644551301,6.7873320659162e-05,"No",NA,NA,NA,3,31.8888888888889,0.00178614001734637,0.000595380005782122
"30","29","root","plant","plant",10,41,170602,2017,6,2,-0.8,-14.4,0.5,40.3,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170523",0.86,0.86,"glutamate",2017,5,23,"Nform",NA,0.31,0.5,1.55,10,-1.575,0.003667064,0.00366421975,0.00365366577377296,0.00365084226168062,0.00566318194934809,0.00565880550560495,4.3764437431407e-06,"No",NA,NA,NA,10,94.0333333333333,0.000106742530320505,1.06742530320505e-05
"31","29","leaf","plant","plant",10,41,170602,2017,6,2,-1.6,-15.4,0.7,45.6,"SEV","BBG","BOER","12/13/16",NA,"Spring","none","170523",0.86,0.86,"glutamate",2017,5,23,"Nform",NA,1.55,0.7,10.85,10,-1.575,0.003664128,0.00366421975,0.00365075118037894,0.00365084226168062,0.0396106503071115,0.0396116385392347,-9.88232123175226e-07,"No",NA,NA,NA,10,76,-2.41032225164689e-05,-2.41032225164689e-06
"32","30","root","plant","plant",10,34,170604,2017,6,4,-1,-14.3,0.5,40.6,"SEV","BBG","BOER","12/13/16","3/25/17","Spring","coarse","170601",0.86,0.86,"nitrate",2017,6,1,"mesh",NA,0.72,0.5,3.6,3,-1.7,0.00366633,0.003663761,0.00365293712702308,0.00365038685500572,0.0131505736572831,0.0131413926780206,9.18097926251409e-06,"No",NA,NA,NA,3,94.7333333333333,0.00027002880183865,9.00096006128832e-05
