,Raceway_ID,tissue,microsite,Depth,day_collected_est,Distance_from_application,date_coll_flat,Year_collected,Month_collected,Day_collected,d15N,d13C,pN,pC,Site,habitat,Plant_species,Date_installed,Date_mesh_added,Season,mesh_type,Date_15N_added_flat,N15_mg_added,total_N_mg_added,Type_of_label,Year_15N_added,Month_15N_added,Day_15N_added,Experiment,Distance_from_tracer_to_mesh,mass_g,avg_N,Total_N,Day,Nat_ab_15N,R,R0,F,F0,total15N,total15N0,excess,stomped,gwc_depth,VWC,GWC,Day_2,CN,excess_percm,excess_percmday
25,21,leaf,plant,plant,0,29,170528,2017,5,28,-1.9,-16.2,1.9,42.6,SEV,BBG,BOER,12/13/16,NA,Spring,none,170601,0.86,0.86,nitrate,2017,6,1,Nform_Plant_species,NA,9.64,1.9,183.16,-4,-1.9,0.003663027,0.003663027,0.003649658,0.003649658,0.668471397,0.668471397,0,No,0_10,NA,0.016421053,0,26.15789474,0,NA
26,21,leaf,plant,plant,3,29,170604,2017,6,4,-1.1,-15.8,1.9,43.8,SEV,BBG,BOER,12/13/16,NA,Spring,none,170601,0.86,0.86,nitrate,2017,6,1,Nform_Plant_species,NA,9.64,1.9,183.16,3,-1.9,0.003665963,0.003663027,0.003652573,0.003649658,0.669005235,0.668471397,0.000533838,No,0_10,NA,0.015224359,3,26.89473684,0.01840821,0.00613607
27,28,root,plant,plant,10,38,170602,2017,6,2,-1.5,-14.4,0.5,42.2,SEV,BBG,BOER,12/13/16,NA,Spring,none,170525,0.86,0.86,glutamate,2017,5,25,Nform,NA,1.6,0.5,8,8,-0.8,0.003664495,0.003667064,0.003651116,0.003653666,0.029208924,0.029229326,-2.04E-05,No,NA,NA,NA,8,98.46666667,-0.000536899,-6.71E-05
28,28,leaf,plant,plant,0,38,170525,2017,5,25,-0.8,-15.9,1.5,42.2,SEV,BBG,BOER,12/13/16,NA,Spring,none,170525,0.86,0.86,glutamate,2017,5,25,Nform,NA,4.14,1.5,62.1,0,-0.8,0.003667064,0.003667064,0.003653666,0.003653666,0.226892645,0.226892645,0,No,0_10,NA,0.012840267,0,32.82222222,0,NA
29,28,leaf,plant,plant,3,38,170528,2017,5,28,-0.5,-15.6,1.5,41,SEV,BBG,BOER,12/13/16,NA,Spring,none,170525,0.86,0.86,glutamate,2017,5,25,Nform,NA,4.14,1.5,62.1,3,-0.8,0.003668165,0.003667064,0.003654759,0.003653666,0.226960518,0.226892645,6.79E-05,No,NA,NA,NA,3,31.88888889,0.00178614,0.00059538
30,29,root,plant,plant,10,41,170602,2017,6,2,-0.8,-14.4,0.5,40.3,SEV,BBG,BOER,12/13/16,NA,Spring,none,170523,0.86,0.86,glutamate,2017,5,23,Nform,NA,0.31,0.5,1.55,10,-1.575,0.003667064,0.00366422,0.003653666,0.003650842,0.005663182,0.005658806,4.38E-06,No,NA,NA,NA,10,94.03333333,0.000106743,1.07E-05
31,29,leaf,plant,plant,10,41,170602,2017,6,2,-1.6,-15.4,0.7,45.6,SEV,BBG,BOER,12/13/16,NA,Spring,none,170523,0.86,0.86,glutamate,2017,5,23,Nform,NA,1.55,0.7,10.85,10,-1.575,0.003664128,0.00366422,0.003650751,0.003650842,0.03961065,0.039611639,-9.88E-07,No,NA,NA,NA,10,76,-2.41E-05,-2.41E-06
32,30,root,plant,plant,10,34,170604,2017,6,4,-1,-14.3,0.5,40.6,SEV,BBG,BOER,12/13/16,3/25/17,Spring,coarse,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,0.72,0.5,3.6,3,-1.7,0.00366633,0.003663761,0.003652937,0.003650387,0.013150574,0.013141393,9.18E-06,No,NA,NA,NA,3,94.73333333,0.000270029,9.00E-05
33,30,leaf,plant,plant,0,34,170528,2017,5,28,-1.7,-15.7,1.5,42.4,SEV,BBG,BOER,12/13/16,3/25/17,Spring,coarse,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,5.95,1.3,77.35,-4,-1.7,0.003663761,0.003663761,0.003650387,0.003650387,0.282357423,0.282357423,0,No,0_10,NA,0.010412793,0,32.97777778,0,NA
34,30,leaf,plant,plant,3,34,170604,2017,6,4,4,-15.6,1.1,40.5,SEV,BBG,BOER,12/13/16,3/25/17,Spring,coarse,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,5.95,1.3,77.35,3,-1.7,0.00368468,0.003663761,0.003671153,0.003650387,0.283963683,0.282357423,0.001606259,No,NA,NA,NA,3,42.95454545,0.047242925,0.015747642
35,35,root,plant,plant,10,24,170604,2017,6,4,-1.6,-14.3,0.4,37.4,SEV,BBG,BOER,12/13/16,NA,Spring,none,170601,0.86,0.86,nitrate,2017,6,1,Nform_Plant_species,NA,25.12,0.4,100.48,3,-0.9,0.003664128,0.003666697,0.003650751,0.003653301,0.366827479,0.36708373,-0.000256251,No,NA,NA,NA,3,109.0833333,-0.010677131,-0.003559044
36,35,leaf,plant,plant,0,24,170528,2017,5,28,-0.9,-15.7,1.4,41.9,SEV,BBG,BOER,12/13/16,NA,Spring,none,170601,0.86,0.86,nitrate,2017,6,1,Nform_Plant_species,NA,14.7,1.4,205.8,-4,-0.9,0.003666697,0.003666697,0.003653301,0.003653301,0.751849439,0.751849439,0,No,0_10,NA,0.010328068,0,34.91666667,0,NA
37,35,leaf,plant,plant,3,24,170604,2017,6,4,-0.2,-15.6,1.4,43.2,SEV,BBG,BOER,12/13/16,NA,Spring,none,170601,0.86,0.86,nitrate,2017,6,1,Nform_Plant_species,NA,14.7,1.4,205.8,3,-0.9,0.003669266,0.003666697,0.003655852,0.003653301,0.752374281,0.751849439,0.000524843,No,NA,NA,NA,3,36,0.021868455,0.007289485
38,37,root,plant,plant,10,37,170602,2017,6,2,-1,-14.7,0.4,35.8,SEV,BBG,BOER,12/13/16,NA,Spring,none,170523,0.86,0.86,glutamate,2017,5,23,Nform,NA,44.53,0.4,178.12,10,-1.6,0.00366633,0.003664128,0.003652937,0.003650751,0.650661161,0.6502718,0.000389361,No,NA,NA,NA,10,104.4166667,0.010523265,0.001052327
39,37,leaf,plant,plant,0,37,170523,2017,5,23,-1.6,-15.9,1.3,41.8,SEV,BBG,BOER,12/13/16,NA,Spring,none,170523,0.86,0.86,glutamate,2017,5,23,Nform,NA,22.17,1.266666667,280.82,0,-1.6,0.003664128,0.003664128,0.003650751,0.003650751,1.025203946,1.025203946,0,No,0_10,NA,0.017645269,0,37.51282051,0,NA
40,37,leaf,plant,plant,3,37,170526,2017,5,26,-1.2,-16.4,1.3,45.9,SEV,BBG,BOER,12/13/16,NA,Spring,none,170523,0.86,0.86,glutamate,2017,5,23,Nform,NA,22.17,1.266666667,280.82,3,-1.6,0.003665596,0.003664128,0.003652208,0.003650751,1.025613185,1.025203946,0.000409239,No,NA,NA,NA,3,41.19230769,0.011060504,0.003686835
41,37,leaf,plant,plant,10,37,170602,2017,6,2,-1.4,-16.3,1.2,45.3,SEV,BBG,BOER,12/13/16,NA,Spring,none,170523,0.86,0.86,glutamate,2017,5,23,Nform,NA,22.17,1.266666667,280.82,10,-1.6,0.003664862,0.003664128,0.00365148,0.003650751,1.025408566,1.025203946,0.000204619,No,NA,NA,NA,10,44.04166667,0.005530256,0.000553026
42,39,root,plant,plant,3,28,170604,2017,6,4,-2.5,-14.4,0.4,42.4,SEV,BBG,BOER,12/13/16,3/25/17,Spring,coarse,170601,0.86,0.86,nitrate,2017,6,1,mesh,NA,33.84,0.4,135.36,3,-2,0.003660825,0.00366266,0.003647472,0.003649294,0.493721843,0.493968419,-0.000246576,No,0_10,NA,0.01282508,3,123.6666667,-0.008806303,-0.002935434
